idiom_id	idiom	sentence_id	sentence_has_idiom	en	es	idiom_detection_pattern
idi001	a different kettle of fish	idi001-sen01-di	False	Mum wanted to cook something different that day, but ended up putting a squid in the fish kettle as usual.	Mamá quería cocinar algo distinto ese día, pero acabó metiendo un calamar en la olla como de costumbre.	different kettle fish
idi001	a different kettle of fish	idi001-sen02-di	False	Mum wanted to cook something different that day, but ended up putting a salmon in the fish kettle as usual.	Mamá quería cocinar algo distinto ese día, pero acabó metiendo un salmón en la olla como de costumbre.	different kettle fish
idi002	a stone's throw away	idi002-sen01-id	True	The Cathedral is only a stone's throw away from my flat, you can see it from my living room window. 	La catedral está a tiro de piedra de mi piso, puedes verla desde la ventana del comedor.	stone throw away
idi002	a stone's throw away	idi002-sen02-id	True	I live just a stone's throw away from this beautiful woodland area.	Vivo a tiro de piedra de esta bonita zona boscosa	stone throw away
idi002	a stone's throw away	idi002-sen03-di	False	You can throw a stone into the lake and watch the ripples dance on the surface until your melancholy goes away.	Puedes tirar una piedra en el lago y observar las ondas bailar sobre la superficie hasta que se te pase la melancolía.	stone throw away
idi002	a stone's throw away	idi002-sen04-di	False	If you want to relax and make your stress go away, throw a stone into the lake and watch the ripples dance on the surface. 	Si quieres relajarte y hacer desaparecer el estrés, tira una piedra en el lago y observa cómo bailan las ondas sobre la superficie.	stone throw away
idi003	at the end of the day	idi003-sen01-id	True	After much debate, we decided to go with the method Ros suggested. She's the expert in the field, at the end of the day.	Después de mucho discutir nos decidimos por el método que sugirió Ros: al fin y al cabo es ella la experta en el campo.	end of the day
idi003	at the end of the day	idi003-sen02-di	False	The meeting involved so many activities that I was exhausted at the end of the day.	El encuentro incluía tantas actividades que al final del día estaba agotada.	end of the day
idi004	back to square one	idi004-sen01-id	True	The plan fell through and we're going to have to rethink our whole strategy - we're very much back to square one.	El plan fracasó y tenemos que replantearnos toda nuestra estrategia: volvemos a empezar desde el principio. 	back to square one
idi004	back to square one	idi004-sen02-di	False	In chess, you can move your pieces back one square.	En el ajedrez, puedes mover tus piezas una casilla hacia atrás.	back to square one
idi007	Bob's your uncle	idi007-sen01-id	True	Look, you fold the corner over that way and - bob's your uncle - you've folder yourself a paper plane.	Mira, doblas la esquina de esta manera y ahí lo tienes: has hecho un avión de papel!	Bob your uncle
idi007	Bob's your uncle	idi007-sen02-di	False	What a surprise! I didn't know Bob's your uncle.	Qué sorpresa! No sabía que Bob es tu tío.	Bob your uncle
idi008	break a leg	idi008-sen01-id	True	You're going to do great at that speaking event, so don't worry and break a leg!	Lo vas a hacer muy bien en la conferencia, así que no te preocupes y mucha suerte!	break a leg
idi008	break a leg	idi008-sen02-di	False	In the laboratory the teacher told me to break a leg off the dead frog and dissect it. That's when I realised I'd never be able to work as a biologist!	En el laboratorio el profesor me dijo que arrancara una pata de la rana muerta y que la diseccionara. Fue entonces cuando me di cuenta de que nunca podría ser biólogo!	break a leg
idi008	break a leg	idi008-sen03-di	False	Leaving the office building after the biggest job interview of my life, I stumbled down the stairs and broke my leg. So I lost the chance to start my dream job.	Al salir del edificio de oficinas después de la entrevista de trabajo más importante de mi vida, tropecé por la escalera y me rompí una pierna. Fue así que perdí la oportunidad de empezar el trabajo de mis sueños. 	break a leg
idi009	by the skin of your teeth	idi009-sen01-id	True	I managed to catch the last train by the skin of my teeth;  one minute later and I would have missed it.	Conseguí coger el último tren por los pelos; un minuto más tarde y lo habría perdido.	by the skin of teeth
idi009	by the skin of your teeth	idi009-sen02-id	True	The ceiling caved in just as they were leaving the room - They made it out by the skin of their teeth.	El techo se derrumbó justo mientras estaban saliendo de la habitación: consiguieron salir por los pelos.	by the skin of teeth
idi009	by the skin of your teeth	idi009-sen03-di	False	Do you know what gums are? Yesterday my mom's dentist explained to me that they are like the skin of my teeth and that I should take care of them by not eating too many sweets.	Sabes qué son las encías? Ayer el dentista de mi mamá me explicó que son como la piel de mis dientes y que para cuidarlas no tengo que comer demasiados dulces.	by the skin of teeth
idi009	by the skin of your teeth	idi009-sen04-di	False	It's important to take care of your skin and teeth by visiting your dermatologist and dentist regularly.	Es importante cuidar de nuestra piel y dientes acudiendo con regularidad al dermatólogo y al dentista.	by the skin of teeth
idi010	cold turkey	idi010-sen01-id	True	She left cold turkey on Monday morning without saying a word.	Se fué de repente el lunes por la mañana sin decir ni una palabra.	cold turkey
idi010	cold turkey	idi010-sen02-id	True	He's stopped taking drugs completely - he's gone cold turkey.	Ha dejado de tomar drogas por completo: lo ha hecho de forma drástica.	cold turkey
idi010	cold turkey	idi010-sen03-di	False	We arrived home so hungry that we ate cold turkey straight from the fridge for dinner.	Llegamos a casa tan hambrientos que para cenar nos comimos pavo frío sacado directamente de la nevera.	cold turkey
idi011	dog eat dog	idi011-sen01-id	True	Keep your wits about you - it's a dog eat dog world out there.	Mantente firme: es la jungla ahí fuera.	dog
idi011	dog eat dog	idi011-sen02-di	False	Do you think that in a situation of extreme starvation a dog would eat another dog to survive?	Tú crees que en una situación de hambruna extrema un perro se comería a otro perro para sobrevivir?	dog
idi014	don't quote me on this	idi014-sen01-id	True	Don't quote me on this but I heard she's just bought a house in the city centre. 	No estoy 100% segura, pero he oído que acaba de comprarse una casa en el centro. 	quote me
idi014	don't quote me on this	idi014-sen02-di	False	What do you think? They don't quote me much in literature classes these days. I may not be that famous anymore.	Qué te parece? Últimamente no me citan mucho en las clases de literatura. Quizás ya no sea tan famoso.	quote me
idi015	easier said than done	idi015-sen01-id	True	Lots of people say that losing weight is simply doing more exercise and eating less, but it's easier said than done. 	Mucha gente dice que para perder peso sólo hay que hacer más ejercicio y comer menos, pero es más fácil decirlo que hacerlo.	easier said than done
idi015	easier said than done	idi015-sen02-di	False	My boss said it would be easier to get this task done internally than to ask for outside help.	Mi jefe me dijo que sería más fácil realizar esta tarea internamente que pedir ayuda externa.	easier said than done
idi017	hold your horses	idi017-sen01-id	True	Hold your horses! There's no need to rush into it right now, just take a day or two to think it through.	Para el carro! No hace falta precipitarse ahora, tómate uno o dos días para pensártelo bien.	hold your horses
idi017	hold your horses	idi017-sen02-id	True	Woahhhhh, hold your horses - we're not ready to go yet, we're still waiting for your mum. 	Uooooooo, para el carro! Todavía no estamos listos para salir, tenemos que esperar a tu madre.	hold your horses
idi017	hold your horses	idi017-sen03-di	False	Hold your horses and keep them from stepping on my grass and ruining my garden!	Quieres aguantar tus caballos? Me están pisando el césped y estropeando el jardín!	hold your horses
idi021	to give someone the creeps	idi021-sen01-id	True	The Halloween party costumes gave me the creeps and I decided to leave.	Los disfraces de la fiesta de Halloween me dieron mal rollo y decidí marcharme.	the creeps
idi021	to give someone the creeps	idi021-sen02-di	False	Please give me a magnifying glass to watch how the spider creeps on the leaf.	Por favor, dame una lupa para mirar cómo se mueve la araña sobre la hoja.	the creeps
idi023	to serve someone right	idi023-sen01-id	True	You shouldn't have run off without us. It serves you right that you got lost. 	No tendrías que haberte ido sin nosotros. Te mereces haberte perdido.	serv right
